,user_id,ts_month
0,529283885,11.0
1,512397411,11.0
2,514055577,11.0
3,514055577,11.0
4,514055577,11.0
5,514055577,11.0
6,514055577,11.0
7,514055577,11.0
8,514055577,11.0
9,514055577,11.0
10,515992325,11.0
11,515992325,11.0
12,515992325,11.0
13,515992325,11.0
14,515992325,11.0
15,561242596,11.0
16,512397411,11.0
17,570133722,11.0
18,574375088,11.0
19,570133722,11.0
20,570133722,11.0
21,570133722,11.0
22,514055577,11.0
23,514055577,11.0
24,514055577,11.0
25,543864770,11.0
26,518780950,10.0
27,514055577,10.0
28,512397411,10.0
29,512397411,10.0
30,589730178,2.0
31,609063581,2.0
32,523516423,2.0
33,518662378,2.0
34,585836356,2.0
35,612592112,2.0
36,544961204,2.0
37,544961204,2.0
38,526002368,2.0
39,526002368,2.0
40,526002368,2.0
41,526002368,2.0
42,531180938,2.0
43,531180938,2.0
44,526002368,2.0
45,526002368,2.0
46,526002368,2.0
47,526002368,2.0
48,526002368,2.0
49,526002368,2.0
50,526002368,2.0
51,558137173,2.0
52,551653108,2.0
53,551653108,2.0
54,516873093,2.0
55,516873093,2.0
56,516873093,2.0
57,516873093,2.0
58,516873093,2.0
59,516873093,2.0
60,516873093,2.0
61,516873093,2.0
62,516873093,2.0
63,516873093,2.0
64,516873093,2.0
65,516873093,2.0
66,516873093,2.0
67,516873093,2.0
68,516873093,2.0
69,516873093,2.0
70,516873093,2.0
71,516873093,2.0
72,516873093,2.0
73,516873093,2.0
74,516873093,2.0
75,516873093,2.0
76,516873093,2.0
77,516873093,2.0
78,516873093,2.0
79,516873093,2.0
80,516873093,2.0
81,516873093,2.0
82,516873093,2.0
83,516873093,2.0
84,516873093,2.0
85,516873093,2.0
86,516873093,2.0
87,516873093,2.0
88,516873093,2.0
89,516873093,2.0
90,516873093,2.0
91,516873093,2.0
92,516873093,2.0
93,516873093,2.0
94,516873093,2.0
95,516873093,2.0
96,516873093,2.0
97,516873093,2.0
98,516873093,2.0
99,516873093,2.0
100,516873093,2.0
101,516873093,2.0
102,516873093,2.0
103,516873093,2.0
104,516873093,2.0
105,516873093,2.0
106,516873093,2.0
107,516873093,2.0
108,516873093,2.0
109,516873093,2.0
110,616588883,2.0
111,576449243,2.0
112,576449243,2.0
113,517255995,2.0
114,537126207,2.0
115,551653108,2.0
116,551653108,2.0
117,514066211,2.0
118,593123999,2.0
119,516873093,2.0
120,516873093,2.0
121,553915458,2.0
122,517255995,2.0
123,551653108,2.0
124,551653108,2.0
125,581402782,12.0
126,576449243,12.0
127,576449243,12.0
128,555531058,12.0
129,555531058,12.0
130,555531058,12.0
131,515018538,12.0
132,526606405,12.0
133,581826501,12.0
134,512893781,12.0
135,512742781,12.0
136,512742781,12.0
137,512742781,12.0
138,527998810,12.0
139,512893781,12.0
140,527929756,12.0
141,527929756,12.0
142,527929756,12.0
143,527929756,12.0
144,512893781,12.0
145,512893781,12.0
146,541699650,12.0
147,524666812,12.0
148,524666812,12.0
149,518780950,12.0
150,501378568,12.0
151,518780950,12.0
152,525800112,12.0
153,589730178,12.0
154,524666812,12.0
155,524666812,12.0
156,590601029,12.0
157,512893781,12.0
158,512893781,12.0
159,512893781,12.0
160,512893781,12.0
161,512893781,12.0
162,512893781,12.0
163,512893781,12.0
164,512893781,12.0
165,512893781,12.0
166,512893781,12.0
167,512893781,12.0
168,512893781,12.0
169,512893781,12.0
170,524666812,12.0
171,524666812,12.0
172,524666812,12.0
173,586854281,12.0
174,586854281,12.0
175,586854281,12.0
176,590601029,12.0
177,590601029,12.0
178,590601029,12.0
179,581924128,12.0
180,581924128,12.0
181,586854281,12.0
182,586854281,12.0
183,561242596,12.0
184,512397411,12.0
185,590601029,12.0
186,576449243,12.0
187,568392103,12.0
188,586854281,12.0
189,586854281,12.0
190,534475330,12.0
191,568392103,12.0
192,515396394,12.0
193,515396394,12.0
194,515396394,12.0
195,515396394,12.0
196,515396394,12.0
197,515396394,12.0
198,515396394,12.0
199,515396394,12.0
200,515396394,12.0
201,515396394,12.0
202,512397411,12.0
203,534552790,12.0
204,524666812,12.0
205,561242596,12.0
206,514055577,12.0
207,514055577,12.0
208,537126207,12.0
209,534552790,12.0
210,537126207,12.0
211,518780950,1.0
212,518780950,1.0
213,518780950,1.0
214,564839254,1.0
215,518780950,1.0
216,518780950,1.0
217,552319819,1.0
218,552319819,1.0
219,576449243,1.0
220,514055577,1.0
221,568362033,1.0
222,518780950,1.0
223,579512364,1.0
224,574927794,1.0
225,518780950,1.0
226,598937410,1.0
227,544020876,1.0
228,589730178,1.0
229,601420899,1.0
230,601632774,1.0
231,516348448,1.0
232,601420899,1.0
233,586670656,1.0
234,600684369,1.0
235,579512364,1.0
236,579512364,1.0
237,579512364,1.0
238,515396394,1.0
239,601420899,1.0
240,601420899,1.0
241,601420899,1.0
242,601420899,1.0
243,601420899,1.0
244,601420899,1.0
245,601420899,1.0
246,601420899,1.0
247,531180938,1.0
248,577596424,1.0
249,577596424,1.0
250,601420899,1.0
251,601420899,1.0
252,601420899,1.0
253,601420899,1.0
254,601420899,1.0
255,601420899,1.0
256,601420899,1.0
257,603798259,1.0
258,601420899,1.0
259,589730178,1.0
260,561242596,1.0
261,601420899,1.0
262,514055577,1.0
263,514055577,1.0
264,514055577,1.0
265,514055577,1.0
266,514055577,1.0
267,601420899,1.0
268,601420899,1.0
269,601420899,1.0
270,601420899,1.0
271,601420899,1.0
272,601420899,1.0
273,534475330,1.0
274,534475330,1.0
275,534475330,1.0
276,534475330,1.0
277,541699650,1.0
278,551653108,1.0
279,577596424,1.0
280,577596424,1.0
281,577596424,1.0
282,524666812,1.0
283,524666812,1.0
284,524666812,1.0
285,524666812,1.0
